gene,lfc,q
ZSCAN1,-0.854610006,1.45E-07
TEX45,-0.854343251,1.39E-03
MB,-0.851732734,1.95E-02
OASL,-0.851717584,0.011813045
ANKRD18A,-0.848915674,0.038897771
LINC02028,-0.848365737,0.015027104
FLNC,-0.847197239,7.46E-03
LINC00106,-0.843974716,0.000362083
GAL3ST2,-0.84227183,0.025391122
CECR2,-0.842231448,0.019574181
ARC,-0.840064036,1.45E-02
KEL,-0.837653629,2.02E-02
TUSC8,-0.835565525,0.008465862
ITIH4,-0.834151148,6.47E-05
F7,-0.83384473,0.000657993
PTK6,-0.833359416,0.011502209
HHATL,-0.832096511,0.005327432
DPYSL5,-0.832001108,0.001367149
DNAH1,-0.829770061,7.31E-07
CDC42EP1,-0.829455522,0.037057756
CNTN2,-0.828811097,0.016749266
RBM3,-0.828744382,2.82E-05
KANK4,-0.827083068,1.05E-02
PDE6B,-0.825031915,0.001630689
PLLP,-0.824280988,1.45E-02
TP73,-0.824175381,0.009752511
ALOX12B,-0.823307631,2.27E-03
LOC101927588,-0.823245113,4.62E-02
DRD4,-0.821362102,0.009240714
TMEM63A,-0.820469704,0.039203841
TMEM144,-0.819422768,0.034189248
SOWAHB,-0.818513518,2.99E-02
CRYM,-0.817599872,0.000245532
SLC16A8,-0.816860265,0.002020675
SNX22,-0.816466191,0.000210862
LRTM2,-0.815451623,0.000712291
SLC26A10,-0.815385517,7.12E-03
ALB,-0.815291917,0.016479256
ALDH1A1,-0.813624028,1.60E-05
SP7,-0.813192582,1.92E-02
GOLT1A,-0.813143009,0.002660035
KRTAP5-7,-0.812904877,0.001312087
LINC02175,-0.8120589,0.020628337
SPTB,-0.811985208,0.021847438
PRSS56,-0.810756264,0.017935625
VWA5B2,-0.810125543,2.39E-05
FIBCD1,-0.809291917,0.038398751
RPRML,-0.808833916,0.001883819
STX16-NPEPL1,-0.807948821,0.000391714
TMEM238,-0.807445447,0.031605732
MCTP2,-0.80726402,2.45E-02
CFAP99,-0.806894918,0.000842143
GALR1,-0.806721849,6.11E-03
LOC105371824,-0.806665102,0.010234805
LINC02418,-0.805828667,0.028919827
LOC105369201,-0.800792901,0.028230675
LINC02166,-0.800663521,0.002059047
TTLL11,-0.799350647,0.000365724
DAAM2,-0.798709569,0.021879226
ADRA1D,-0.796908039,0.015094134
GSTT2,-0.796209213,0.04735946
SHANK1,-0.794563258,0.018882652
PDF,-0.79436713,0.000199685
RASGRP1,-0.794315074,0.001061011
LPO,-0.794077725,0.004098391
RNF224,-0.792664125,0.006240734
LORICRIN,-0.791970538,0.042242991
ELOVL1,-0.788413555,0.018032193
LINC00943,-0.786526527,0.036659922
KCNK4,-0.785967928,7.35E-04
KCNG2,-0.784375661,0.000776619
PLXNB3,-0.78371785,2.51E-02
C17orf113,-0.783037218,0.000350301
SYNPO2L,-0.782510624,0.036875899
LOC105369203,-0.779751493,1.07E-03
KRT17,-0.779354151,0.048822977
CLEC2L,-0.777915366,0.000199788
FAM53A,-0.776788563,0.009869326
PCSK1N,-0.776648773,0.001631052
TAC1,-0.776310442,4.95E-02
LOC284395,-0.775969955,7.27E-05
AATK,-0.77125442,0.002998565
SLC25A45,-0.76960576,8.72E-07
PILRB,-0.769374048,0.03323562
COL9A2,-0.767351737,0.017088444
CCDC85A,-0.767018596,0.042692103
PRKCQ,-0.766875263,0.001964837
CD38,-0.766759289,0.010204437
SHOC1,-0.766244774,0.030549483
SPTBN5,-0.762915779,0.009791293
MYO1D,-0.762586949,8.56E-03
ARID3C,-0.761733304,1.07E-02
EPX,-0.761215837,0.000609126
CES4A,-0.759571412,4.81E-06
CDK5R2,-0.758696905,0.000802638
ATP1A3,-0.756169823,0.001702356
LURAP1,-0.755508311,0.000889627
NPIPB3,-0.753732719,0.015797322
COL11A2,-0.752126679,4.09E-05
KIF12,-0.750885625,0.005634234
SNAI3,-0.749584295,0.000135949
NXPH3,-0.749477237,7.51E-04
UBBP4,-0.749326136,1.48E-02
ABCC11,-0.749105351,0.003911816
AMZ1,-0.748671296,8.39E-06
TUBB2A,-0.747674829,6.21E-05
RAB3B,-0.74695726,0.016208525
SLC9A3,-0.744418496,4.46E-03
SEMA5B,-0.742830474,8.46E-05
CDH22,-0.74271184,0.00575966
SUGT1P4-STRA6LP-CCDC180,-0.742422149,1.20E-02
RIT2,-0.741426584,0.000570662
TSPAN32,-0.741052497,0.011444204
FAM66B,-0.7404032,5.74E-03
ZNF860,-0.738393426,0.031614009
GPR45,-0.737720766,0.035597686
RHOF,-0.737666423,0.000169677
FBLN7,-0.7374448,1.26E-02
CHRM2,-0.736772002,2.38E-03
SMIM10L2B,-0.7363508,0.000129797
MAS1,-0.735606726,3.78E-02
TMC7,-0.73541547,0.015415963
KCNC3,-0.735398803,5.33E-04
TPH1,-0.735211915,0.017935625
SCTR,-0.734221705,2.22E-02
SLC5A2,-0.733113737,0.017722102
SKOR1,-0.732340201,4.70E-03
CIRBP,-0.731858075,2.64E-05
FSCN2,-0.730929,0.001184419
LINC02217,-0.730635304,0.006738016
PRR22,-0.730300031,4.36E-03
SPDEF,-0.729937261,2.79E-03
CHRM4,-0.726536248,0.049950759
OVOL2,-0.726109477,6.18E-03
S100B,-0.725761721,0.002140815
TNFRSF18,-0.725186713,0.003130792
TPPP3,-0.724805319,0.01822887
MASP2,-0.724498359,3.10E-02
RCOR2,-0.724098337,1.06E-05
MYH7B,-0.723786487,0.001807687
STUM,-0.723744564,0.002665926
PROM2,-0.723375236,0.001044367
GAL3ST1,-0.720341478,4.41E-02
PHLDB1,-0.719967158,3.59E-02
EPHA5-AS1,-0.719722775,0.003148519
ZNF70,-0.717077883,1.37E-02
LOC101927502,-0.714015352,0.044947377
BTNL2,-0.713451914,0.046570812
CDRT4,-0.712866053,0.000739601
SEZ6,-0.712260268,1.46E-03
TRIM46,-0.711950615,5.45E-07
MARCKSL1,-0.711917598,5.67E-03
SEMA4D,-0.711460955,1.29E-02
SPON2,-0.710929732,0.008591827
TM7SF2,-0.70940371,7.67E-07
LIPE,-0.707863779,4.68E-02
SH3D21,-0.707662562,3.15E-03
NEFH,-0.706754602,1.33E-02
DUSP15,-0.705602954,3.47E-05
PYCR3,-0.705542465,5.42E-06
MCAM,-0.702312962,0.02563756
PDZD7,-0.700668791,4.23E-06
MEIS1,-0.700663291,0.031705821
BDKRB2,-0.69870878,1.88E-02
TRPV6,-0.698281471,0.000181909
UPK2,-0.697912897,0.02244094
OR2W3,-0.696761699,0.032422055
SRD5A3-AS1,-0.695730854,2.29E-04
NRG1,-0.694389952,5.52E-03
ZNF575,-0.694253404,3.68E-08
SVOP,-0.693991071,7.51E-03
GPR61,-0.692502255,1.31E-03
RAB6C,-0.691790374,1.12E-02
NACAD,-0.691509667,0.000905081
LINC01844,-0.689453849,0.047699889
USP46-DT,-0.689371814,2.98E-02
KCNQ2,-0.688936364,8.46E-03
PNMA3,-0.688836215,0.000952679
CATSPERG,-0.686498655,4.01E-02
LIMK1,-0.685828529,4.06E-04
LOC107984285,-0.685729677,0.000616283
TBC1D8-AS1,-0.685047001,0.014126608
KRT83,-0.684442359,2.91E-02
TMC3,-0.683544858,0.007716711
TUBA1B,-0.682816108,1.05E-03
LINGO3,-0.678222738,0.002782882
MYO15A,-0.678032863,0.000877498
PLA2G4C,-0.67678223,3.61E-04
HMCN2,-0.676477069,1.41E-02
LOC100129215,-0.675582253,0.009589586
RHCE,-0.674648819,1.18E-02
GSTZ1,-0.673028749,4.74E-05
HDAC11,-0.672684928,0.000279751
LINC02347,-0.672452858,3.95E-02
VAMP1,-0.672129873,2.68E-04
MYCBPAP,-0.671303135,2.17E-04
LINC01772,-0.67081915,0.006317274
RGS11,-0.670682549,4.17E-04
LPA,-0.668772659,2.65E-02
LRRC55,-0.668580881,1.88E-02
CCDC134,-0.668437738,0.030628505
PRKCQ-AS1,-0.668368073,2.72E-02
CNTN6,-0.668110634,0.031621963
LINC01547,-0.667795505,3.37E-03
ALG1L9P,-0.667626238,9.76E-05
WDR88,-0.66733145,3.37E-03
FAM86B2,-0.667178997,0.001719502
EPHA10,-0.666662358,1.36E-04
ZNF135,-0.665227523,4.13E-06
NRBP2,-0.665188254,4.08E-06
STAC2,-0.665164472,0.00124432
ERICH6B,-0.663730876,6.58E-03
INF2,-0.663309553,2.79E-03
SLC6A5,-0.662461136,0.032236147
PCYOX1L,-0.660240071,4.28E-06
LOC400499,-0.659945283,3.59E-02
CIDEA,-0.65909763,8.32E-03
ABCA2,-0.6582043,4.70E-02
FBXL22,-0.658135931,1.38E-02
ZNF385C,-0.657779407,1.58E-02
HCN2,-0.657684224,9.95E-05
C19orf48,-0.657507738,6.76E-05
B3GNT7,-0.657128721,1.29E-04
PKD1,-0.657100235,0.001184739
TRABD2A,-0.656422933,0.018161397
CREB3L1,-0.656021314,2.00E-03
SLC8A2,-0.655801984,2.51E-03
RN7SL832P,-0.654851307,1.38E-02
LINC01574,-0.654120853,6.20E-03
PAX7,-0.653827555,0.032790323
SDSL,-0.652523572,5.44E-04
BRWD1-AS2,-0.652206366,1.26E-02
GLIPR2,-0.651891559,0.015005589
RASAL1,-0.651690507,6.75E-03
PRPH2,-0.649862895,2.12E-02
STX1B,-0.64892431,0.000338748
LOC100506274,-0.648368418,1.74E-02
KIAA1755,-0.648177449,4.70E-02
BMP8A,-0.645027908,1.88E-03
C9orf50,-0.644860481,0.015257265
MAMSTR,-0.64459914,0.000294191
LRRC75A,-0.644315272,4.50E-04
GABRD,-0.643119018,7.28E-03
SFTPD,-0.642633699,1.52E-04
OTOA,-0.642295429,0.011105067
ZNF324B,-0.641092732,3.42E-05
CFAP61,-0.639479045,6.46E-03
P2RX6,-0.639465988,2.00E-04
THPO,-0.638590128,1.79E-03
HPX,-0.638524145,0.013078555
SCN1B,-0.638327134,0.000415469
HSPB6,-0.637754705,0.008317063
SEC14L5,-0.637209837,9.32E-04
KIF6,-0.636423546,3.84E-02
LOC105374758,-0.635945697,3.90E-02
ADAM11,-0.635172222,1.46E-03
NOS1,-0.634689522,1.43E-03
CCDC78,-0.634609119,0.002308349
GAB2,-0.634434372,0.01677241
FABP6,-0.63424475,3.93E-03
STX1A,-0.632794524,0.008556805
MYADML2,-0.631070118,1.07E-02
AP1S3,-0.630793651,0.00376232
IL1RL2,-0.630680022,1.90E-02
CACNA1H,-0.630272769,2.52E-03
ARL4D,-0.628055457,0.003560401
LIN28B-AS1,-0.627924921,0.035705425
INHA,-0.625303274,5.58E-03
MYO18A,-0.625010722,1.20E-03
LOC441204,-0.624040891,0.021879226
CRHR1,-0.623998143,0.003377318
CST3,-0.623614466,6.75E-03
LINC00174,-0.62353492,0.038003514
CORO2A,-0.62278938,5.31E-03
CPNE7,-0.622685114,0.031122419
MMD2,-0.62212672,1.09E-02
TARBP1,-0.621775872,0.000383682
ZDHHC9,-0.621354187,1.68E-02
HES4,-0.620782721,3.65E-03
STARD5,-0.61987473,0.019155909
OXCT2,-0.619759434,7.07E-03
C17orf107,-0.619443816,1.10E-02
CDR2L,-0.618917336,2.39E-02
SNHG9,-0.61865806,4.60E-02
TUBA1A,-0.617880654,8.82E-04
GRIK3,-0.616614494,3.28E-03
MEG9,-0.614933933,6.11E-03
SYT5,-0.614172686,7.16E-03
PADI2,-0.611855093,3.07E-02
NUTM2D,-0.611732382,2.41E-03
CHRNB2,-0.611644092,5.88E-03
AZIN2,-0.611633921,1.86E-06
GPC1,-0.611190699,1.14E-05
CTXN1,-0.610938041,2.45E-02
TRANK1,-0.610751338,5.41E-03
DUOX1,-0.609201114,3.47E-02
PLEKHD1,-0.609153935,1.31E-02
LHPP,-0.608380497,4.66E-02
PPDPF,-0.607980675,2.85E-03
RPS6KL1,-0.607815847,1.74E-06
CORO6,-0.607494775,8.21E-04
TIMM23B,-0.606989213,2.90E-03
PEX11G,-0.605939969,1.57E-02
DNAH2,-0.605906276,1.70E-02
FAAP100,-0.605026257,2.00E-04
LOC101927468,-0.604753135,2.52E-02
SLC6A17,-0.604182027,2.03E-02
FHAD1,-0.60409557,0.035856431
LOC105374618,-0.604072101,4.13E-02
GPR158,-0.60406715,1.16E-02
FTCDNL1,-0.604038665,1.88E-03
LRRC29,-0.602670698,1.68E-04
CPLX1,-0.601621311,3.76E-03
PDIA2,-0.601589655,1.21E-02
UBAP1L,-0.60032435,6.03E-04
FREM1,-0.599918446,2.59E-02
LINC01664,-0.598745771,4.82E-03
SCRT1,-0.5986666,1.52E-02
PACC1,-0.598663459,4.45E-02
GRK1,-0.598501158,3.52E-02
RELL2,-0.598227575,6.16E-03
OTOF,-0.597807846,1.42E-03
OBSCN,-0.596922081,3.77E-02
AMH,-0.596602017,2.56E-02
LY6G5B,-0.595756974,1.79E-02
DIRAS2,-0.595335307,1.34E-02
PLA2G4B,-0.594107357,4.92E-02
CALHM1,-0.593954668,2.57E-02
GPR68,-0.592590045,1.82E-02
MYH14,-0.591819595,4.11E-04
MAP1LC3A,-0.591344552,6.31E-06
ACY1,-0.591249157,2.15E-03
DOHH,-0.589984321,1.10E-02
DIRAS1,-0.58945941,1.16E-02
TMEM63C,-0.589356851,1.16E-02
SH3BP5,-0.589335814,3.21E-02
PRCD,-0.589142297,3.13E-02
SREBF1,-0.588979952,2.66E-02
AHNAK2,-0.588485658,1.35E-02
CEP164,-0.588422964,2.55E-04
TMPRSS9,-0.588379985,2.12E-02
FAM156A,-0.588283568,0.001885315
SSBP3-AS1,-0.588172758,0.0269411
CCNB3,-0.587218902,0.041736243
TCTE1,-0.58701469,0.016128682
ADGRE5,-0.586834352,0.02486944
SLC1A6,-0.586450093,0.046225759
CBARP,-0.586256544,0.0063307
PRRC2B,-0.586056999,0.017158699
GAS7,-0.585823748,7.33E-05
TRIM66,-0.5853608,1.31E-05
C8orf31,-0.584260715,4.28E-05
ADRA1B,-0.583717888,0.034689985
GLIS2-AS1,-0.58351655,0.018009465
SLC16A11,-0.583110674,0.005641193
C20orf204,-0.582046231,0.005189015
LMOD3,-0.581421208,0.009268154
KCNK10,-0.581195048,3.27E-05
PRSS16,-0.581174342,0.030855073
SMIM10L2A,-0.581115161,0.000310653
PHOSPHO1,-0.580369588,0.009432382
LYNX1,-0.580030545,0.000254777
APC2,-0.577296531,4.15E-05
SLX4,-0.576716667,0.003055982
DAPK2,-0.57598717,0.02924637
DHDDS,-0.575240284,0.000215084
IPO13,-0.574129265,0.003148519
SEZ6L2,-0.573845913,0.001644549
IL17RE,-0.573593361,0.032534312
RAB11FIP4,-0.572847167,6.25E-06
PLEKHG4,-0.571498729,0.027153169
SCN4B,-0.570976425,0.009713714
OPLAH,-0.570891163,0.028131689
SLC48A1,-0.570091162,0.00403093
MVD,-0.570083038,0.000154513
MAP6D1,-0.569752836,0.023644024
LYRM9,-0.569528435,0.004029513
PLPPR3,-0.568788268,0.040200242
SCNN1D,-0.568711445,0.000563642
FN3K,-0.568252226,9.81E-05
ABCC8,-0.568049055,0.004750679
PLA2G5,-0.566916564,0.02421084
CATSPER2,-0.566834108,0.00168138
AMDHD2,-0.566721491,2.62E-06
IDUA,-0.566682516,0.002945007
HMGCS1,-0.564795508,0.008316992
