gene,lfc,q
PCDHGC4,-1.048007893,0.001525079
OTOGL,-1.046436951,0.000323489
CHML,-1.046431516,2.37E-05
KLHL11,-1.045344339,0.000731721
HTR2C,-1.043249733,2.74E-03
ZNF860,-1.043145365,1.76E-04
TENM1,-1.043050252,1.08E-04
C8orf86,-1.042994889,8.71E-03
SOWAHB,-1.042879575,0.00234899
PALM2AKAP2,-1.042700932,1.59E-02
OR1L8,-1.042052023,1.50E-02
SPRR2G,-1.037357313,0.021906217
TMSB15B,-1.037283945,0.000102752
LINC02728,-1.036360869,0.013537091
PCDHGC5,-1.036303409,2.25E-03
SLC32A1,-1.030889011,0.000842018
NYAP2,-1.025548734,2.99E-03
NRK,-1.023972146,0.02137804
UBASH3B,-1.019402373,8.82E-05
OBSCN-AS1,-1.01801952,1.87E-04
HAPLN1,-1.016149328,5.88E-05
CYP24A1,-1.013970805,0.003196769
SH3TC2-DT,-1.013878469,2.29E-02
LINC01289,-1.012013362,0.0080451
CDH17,-1.011374247,0.003833747
EPHA5,-1.006910742,0.000177569
ADAMTS20,-1.005213794,0.023518609
ANKRD33B,-1.002097557,0.006209969
FRMPD2,-0.999766605,1.75E-04
ATP12A,-0.997202275,0.003745443
IGFL2,-0.997174921,7.97E-03
LINC01771,-0.996268067,1.91E-04
LOC284930,-0.994760754,0.009687009
PENK,-0.993888314,0.005700683
PCDHA9,-0.993456445,0.00662307
LIPI,-0.991299413,0.006630454
SPTB,-0.987870513,0.000818909
TNIP3,-0.983559266,8.22E-03
LINC00488,-0.983192841,2.09E-02
CBLN4,-0.981187544,0.004066864
KCNA3,-0.980532306,4.21E-04
FAM163A,-0.979596492,0.000944213
SCG2,-0.978449558,2.77E-05
ITGA4,-0.976722699,0.001675246
NUTM2A,-0.975341738,7.39E-05
PART1,-0.975140735,0.002018239
C11orf42,-0.973864034,0.011544885
OLFM3,-0.969489597,0.000445806
TMEM61,-0.969278739,0.012780286
RGS4,-0.968290835,0.001012202
NT5C1A,-0.965115126,0.004956119
LINC02458,-0.964634714,0.000665943
ARHGAP20,-0.962787856,3.59E-05
C6orf141,-0.962246664,0.007646637
CHGB,-0.959526662,1.35E-03
AMY2A,-0.959403161,0.002065193
CCDC85A,-0.958569105,0.002014222
SLN,-0.958171465,0.006300742
XKR9,-0.956582038,6.22E-05
CIP2A,-0.954849091,1.52E-05
TYRP1,-0.95331146,0.000336083
GOLGA8O,-0.950871341,3.82E-02
EIF2S3B,-0.947986843,0.046136812
NEK10,-0.945155071,4.12E-05
USP46-DT,-0.944252851,0.000107285
SLC6A5,-0.944144792,0.000541685
LINC00907,-0.943398152,0.002052493
STXBP5L,-0.942711283,7.70E-05
SYT2,-0.942401563,0.011235876
C11orf87,-0.942200752,1.30E-03
GPR158,-0.941266613,1.77E-05
GABRA6,-0.939926177,6.30E-04
SMIM17,-0.93744483,3.02E-04
GAD1,-0.936305468,0.000225684
VIP,-0.935720948,0.004210289
PKLR,-0.934519917,0.002845529
ZBBX,-0.932140443,5.55E-04
LINC02487,-0.931407056,0.015052798
RHO,-0.930869131,0.000965401
ATP2B1-AS1,-0.926009042,4.66E-05
PCDHA6,-0.925555995,0.00431803
RASGRP1,-0.925097433,4.65E-05
LINC01364,-0.923824835,0.004262005
MAL2,-0.920308165,0.000370897
OR1F1,-0.918980125,0.010129694
NRXN3,-0.917359673,4.42E-06
ZNF441,-0.915138704,8.87E-07
IGF1,-0.914731099,1.37E-04
LOC285766,-0.912447217,0.016863847
WNT1,-0.911097739,0.00784481
LINC01654,-0.910253652,0.038358365
GPR61,-0.909205954,1.06E-05
FBLN7,-0.909126291,0.001855978
SEMA3E,-0.90893762,2.21E-03
SYN3,-0.908566239,0.000513308
C2orf16,-0.905313037,7.96E-07
SLC4A10,-0.903761741,0.000949975
NOMO3,-0.899584931,0.00337174
TAS2R31,-0.898963735,0.013537091
ANKRD36C,-0.897029671,3.87E-07
GOLGA8S,-0.896987597,0.010405511
ARPP21,-0.89674229,0.000200205
LOC112267871,-0.893241657,1.28E-02
PCP4L1,-0.890658101,0.000295628
CHRM4,-0.889969803,0.006920707
MYLK2,-0.889905726,9.95E-05
MAS1,-0.889456006,0.007131057
GPR26,-0.887041352,0.005962142
MYT1L-AS1,-0.886932679,0.044174584
TMEFF1,-0.885113026,0.000868245
CALN1,-0.885025221,1.92E-05
IL13RA2,-0.882403076,0.003833747
RAB3C,-0.88059584,0.00079973
AKAIN1,-0.880301575,4.91E-03
NCALD,-0.878864806,0.000995749
ZNF382,-0.876237021,4.57E-07
ROBO2,-0.875668946,9.44E-05
GDA,-0.875538159,0.002444621
PTPRR,-0.874960122,2.78E-04
HS6ST2,-0.873167307,0.000178072
RAB27B,-0.872804135,0.003206922
PLPPR4,-0.870571775,0.000237371
C17orf102,-0.869124676,0.001797376
GABRA1,-0.869113498,0.001031649
DGKB,-0.869009764,0.000435304
PCP4,-0.867794093,0.00226203
CNTN6,-0.867652991,1.72E-03
IGSF9B,-0.866436931,4.97E-03
NELL1,-0.866094727,0.004411083
INTS4P2,-0.865786897,7.89E-05
RFX8,-0.865775505,0.000366377
ABCC12,-0.865520065,0.003329439
OR14I1,-0.863789683,0.008712894
SEL1L2,-0.863623859,0.046821574
C11orf97,-0.861947422,0.003376632
GABRB2,-0.861661587,0.000923268
GPCPD1,-0.86116881,4.16E-07
OXR1,-0.857695505,0.000146708
TARBP1,-0.855657109,4.79E-07
NBEA,-0.851902975,1.14E-05
FRMPD4,-0.851024101,0.000236505
LINC00398,-0.850836052,0.012920912
PCDHA11,-0.848970846,0.00416369
LINC01649,-0.847780903,7.71E-05
LINC00184,-0.847771614,0.003301885
GABRG3,-0.845197559,0.000412864
HTR2B,-0.845088422,2.55E-02
NDST3,-0.84420995,0.000379782
GULP1,-0.843107359,0.000631234
XKR4,-0.842489102,4.19E-05
SVOPL,-0.841916742,0.012005232
LOC101927745,-0.841583475,1.60E-02
KHDRBS2,-0.841391817,0.000197447
ZNF385D,-0.841294502,0.000106371
C9orf129,-0.840338338,0.000634499
LOC105369980,-0.837837087,0.026500377
SVOP,-0.836466524,0.001357126
TUSC8,-0.835342651,0.001307994
TMEM215,-0.834479382,0.01680538
PLCL2,-0.833825428,1.89E-05
PGM2L1,-0.832586435,6.12E-04
KLHL34,-0.831579524,1.04E-02
KCNG3,-0.82995808,0.001987747
LOC101929719,-0.829056065,0.005714197
SYS1-DBNDD2,-0.828136897,4.00E-07
HRH2,-0.826536389,0.010496067
CACNA1C-IT2,-0.82650384,0.015152713
PTPRQ,-0.825092073,0.001824706
PCLO,-0.824963985,8.71E-05
IL12RB2,-0.824629791,0.001400829
LINC02345,-0.824591211,0.031688353
SYTL5,-0.824244578,0.001613723
SFTPA2,-0.822981661,2.54E-03
UNC5D,-0.821830221,0.000785848
OPN3,-0.819674133,0.002055564
GLS2,-0.819540521,0.004044292
DOK6,-0.818612585,0.000111801
RAPH1,-0.818457997,0.000375283
SCN2A,-0.81834179,0.000437473
KCNS2,-0.817778157,0.002753472
LOXHD1,-0.817683209,0.001894737
CDH18,-0.817510684,0.001526802
RPH3A,-0.817403851,8.23E-05
GSG1L2,-0.816187956,0.030806667
ZCCHC12,-0.815827593,0.001491165
SMIM18,-0.815339902,0.00035258
ZIM2,-0.814645137,0.019761063
SGTB,-0.814615302,1.12E-05
PCDH11X,-0.813914829,7.92E-04
LRRC9,-0.813030209,0.004016751
PTGES3L-AARSD1,-0.812929653,0.016198863
LINCR-0001,-0.812804396,0.00023742
PTPRD-AS2,-0.811883321,0.014646602
LOC102724934,-0.811440446,0.002310441
SYT4,-0.811068862,0.002419779
AKAP5,-0.810495148,0.000899003
C3orf80,-0.810255636,0.003407474
RIMS1,-0.809726381,0.000109769
PPFIA2,-0.809270897,2.12E-05
TASP1,-0.808743677,3.21E-05
PAK1,-0.80723054,0.000411087
LINC00460,-0.805999685,2.10E-03
CLUL1,-0.805939754,0.001502288
CDH8,-0.805519637,0.000193428
EGR4,-0.805422202,0.000650608
DRGX,-0.805314692,0.009207601
ANKRD36,-0.80408463,9.34E-07
PPP4R4,-0.803767176,0.000610011
EGR3,-0.803747023,0.005826525
LOC100287944,-0.802120153,0.001884515
STXBP5,-0.802043344,4.84E-05
MIR4500HG,-0.801418139,6.25E-03
CCDC188,-0.800837665,0.002091404
RAB40A,-0.800232693,1.48E-05
RCAN2,-0.799511829,2.16E-05
HHLA2,-0.799413471,0.004962176
LINCR-0003,-0.799329033,0.016617332
GPLD1,-0.798618387,0.001640624
GABRG2,-0.797700651,0.002156268
COL12A1,-0.797606921,0.000229377
LRRTM3,-0.796543457,1.33E-05
GZMA,-0.795996544,0.04662707
LINC01829,-0.79467322,0.016721551
UNC80,-0.79426218,0.000129856
NPR3,-0.793775675,0.012953039
WDR17,-0.79156158,0.000237378
PLCB1,-0.790917609,0.000585465
STYK1,-0.79049755,0.011965423
EPHA3,-0.789597277,7.84E-05
TBC1D9,-0.788919186,0.000107056
KCNV2,-0.788646692,0.006922755
TIMM23B,-0.788266802,3.98E-06
DIRAS2,-0.786159944,3.71E-04
ADTRP,-0.785617574,0.006643834
PTHLH,-0.784660779,0.001861877
TNMD,-0.78441953,0.020900194
HBM,-0.783578498,0.044671348
GOLGA6L4,-0.782361076,0.010103364
GRIN2A,-0.781344527,8.89E-04
AGBL4,-0.781272258,1.19E-03
CREG2,-0.78095439,0.006111126
NMNAT2,-0.780471087,0.000966706
ANO3,-0.780245875,0.007211298
RTP1,-0.778547264,0.007866389
HMGCS1,-0.777590293,2.22E-05
GALR1,-0.777258427,0.002263108
ADAMTSL1,-0.775866525,0.005959064
NREP,-0.775613317,9.22E-05
CHRM2,-0.775566648,1.18E-04
DLGAP1,-0.77325241,8.82E-04
PLK4,-0.773137798,5.55E-05
SSTR4,-0.772930966,0.043783607
CACNA1S,-0.772682836,6.11E-03
DCDC2,-0.77003206,2.82E-03
FBXL22,-0.769836975,5.74E-05
SLC5A1,-0.768786638,0.047768011
C3orf49,-0.768500593,1.87E-04
LOC400553,-0.76833284,0.008903156
FREM1,-0.768163782,7.02E-04
GPRASP1,-0.767505252,2.76E-05
USP37,-0.76721106,4.93E-03
ZDHHC23,-0.766865921,0.000161549
KCND2,-0.76680819,1.38E-03
MTMR7,-0.766476252,2.05E-06
GABRA4,-0.765937802,5.15E-03
LINC00486,-0.764017515,0.021576106
KCNV1,-0.762929457,0.011222665
F2RL2,-0.762569194,4.75E-02
NEDD8-MDP1,-0.761862877,4.87E-02
CACNB4,-0.761839231,0.000239561
LOC284798,-0.761702352,0.001753618
LPO,-0.761528696,0.000986614
CDKL2,-0.761062988,8.97E-05
LOC101928441,-0.760635672,0.007235763
ZNF221,-0.760446923,0.004842935
RASGRF1,-0.760425235,5.80E-06
FLJ33534,-0.760060855,0.003591025
TMEM178B,-0.759365234,0.000206279
DCLK1,-0.759128582,0.000218137
GRIN2B,-0.758652619,0.002404034
ITPR1,-0.758159552,0.000208396
LOC107984285,-0.75673454,1.68E-05
TMEM196,-0.75537284,0.00165919
PCDHA3,-0.754707709,0.0028503
SLC2A13,-0.754426092,0.00159781
CABCOCO1,-0.753762796,0.003500307
VSTM2A-OT1,-0.753614008,0.007752086
CFTR,-0.753062614,0.005659514
ANKRD63,-0.753049858,0.03909025
DUSP6,-0.752806034,0.000658028
GLRA2,-0.752426497,2.42E-03
CFAP57,-0.751833295,2.00E-03
SPINK5,-0.751780639,1.93E-02
CLDN16,-0.751585835,0.000992516
PLCB4,-0.749608526,0.001044998
CAP2,-0.749269032,0.00091642
LPA,-0.749219176,0.001111614
NRN1,-0.748857096,0.000455062
CDH9,-0.748679794,5.67E-03
DGKI,-0.748467544,2.02E-05
ALB,-0.747974669,2.39E-03
ALKAL2,-0.747578742,0.002586301
KCNT2,-0.747322666,1.71E-03
LINC02453,-0.74625711,2.88E-02
GRIN3A,-0.746243967,0.003161097
NAT16,-0.746164896,0.00474969
CDKL5,-0.745638402,5.77E-06
KNCN,-0.744702298,0.003372474
FAM66B,-0.744215217,0.001168324
KIT,-0.742307038,0.000533455
ATP8A2,-0.740499172,7.54E-04
SLC17A8,-0.740405743,0.003240486
EPHA6,-0.739440676,0.002610867
GRP,-0.738843251,0.00636083
CLGN,-0.738021913,1.47E-03
NWD2,-0.737766531,0.007156024
IL7,-0.737590947,0.008827969
PRPH2,-0.736390383,5.52E-03
LINC02028,-0.736117468,6.07E-03
HOMER1,-0.735261892,6.04E-04
DAO,-0.734664604,4.57E-02
SP6,-0.734646553,2.93E-02
NPY5R,-0.733500813,0.002015355
ADAMTS3,-0.731328776,0.002590791
PARM1,-0.731307046,5.86E-03
ITFG1,-0.731300219,5.29E-05
HS6ST3,-0.7310234,0.003447454
TBC1D8-AS1,-0.730647555,0.000417059
NTN4,-0.729136717,8.46E-05
MDH1B,-0.728889777,0.000551935
CRYM,-0.7286914,0.002414945
NXPH1,-0.728642336,0.000206772
CA10,-0.728427596,5.57E-04
CNBD2,-0.728289455,0.026205043
NRIP3,-0.728067641,1.16E-03
WDR88,-0.727798554,1.61E-05
PCDH11Y,-0.727575204,2.19E-03
GLRA3,-0.726604853,9.61E-03
NAP1L5,-0.726273992,0.000713308
SV2B,-0.725926323,0.001030927
WSCD2,-0.72549114,0.002414341
MYCBP2,-0.72535609,2.60E-06
MSANTD3-TMEFF1,-0.72500806,2.53E-02
ERFE,-0.725004033,0.005602894
GRIK2,-0.724439525,2.17E-04
PLGLB2,-0.724191316,0.028675501
PMS2,-0.723467355,5.03E-06
KCNAB1,-0.722557377,2.55E-05
FGF12,-0.72221969,9.75E-04
LGI2,-0.721916786,0.000321103
GPR3,-0.721696538,0.007140564
RTKN2,-0.72139929,0.001045053
ZNF449,-0.721059565,1.12E-06
MORN3,-0.72085942,0.005021053
ANKRD34C-AS1,-0.720753924,0.006636436
SIAH3,-0.720164465,8.77E-04
PTPRO,-0.72005383,0.001318254
LINC00471,-0.719235943,6.35E-07
PPM1E,-0.718470553,7.22E-04
LINGO2,-0.718334036,1.26E-02
EDN3,-0.717547659,0.004040621
TRIM72,-0.717202105,0.004746713
HMGCLL1,-0.717074543,5.47E-04
SLC28A2,-0.716731029,7.90E-03
RNF150,-0.716433436,5.20E-05
CDH12,-0.716147029,0.001815188
PDE10A,-0.71600352,9.69E-05
SNX10,-0.715624964,0.003248935
RXFP1,-0.715614382,0.020714918
FAT2,-0.715505435,2.58E-03
HCN1,-0.715408575,0.002790212
GRID2IP,-0.715377029,0.021023955
PAX7,-0.715202815,0.010828347
SMPDL3B,-0.714815646,0.027653802
EWSAT1,-0.714436665,0.001088059
ZNF215,-0.713685936,0.000346688
TPH1,-0.713649472,0.001914431
MAP2,-0.713326233,0.000461129
CDH7,-0.713111557,0.002502793
INSYN2B,-0.712256738,0.020590014
DMXL2,-0.711576276,7.89E-06
FAM169A,-0.711515707,1.43E-03
SPRED3,-0.711478765,0.00247468
LINC02552,-0.711078835,0.024001881
SYT1,-0.710406491,3.39E-03
C8orf34,-0.710346606,0.00640351
SMIM43,-0.709911947,0.02826906
MICU3,-0.709638169,2.37E-04
B4GALT6,-0.708880094,0.001078773
PEG3,-0.707742866,3.49E-06
FBN3,-0.706873168,0.00224005
DYNC1I1,-0.706305119,1.71E-04
SEZ6,-0.706259133,0.0009505
SLC39A10,-0.705478873,1.74E-04
LEKR1,-0.705330292,0.003807277
AMDHD1,-0.704661615,0.001766702
LRRTM4,-0.704645656,0.001838398
MAN1B1-DT,-0.704616712,0.000153642
SERF1A,-0.704524801,0.000583789
LOC645485,-0.70436489,0.041243258
GJD2,-0.704244149,0.003595463
LAMB1,-0.704064529,0.001781595
FBXO16,-0.703544512,0.000231781
PARPBP,-0.703483709,0.000279888
TMEM200A,-0.70195589,8.94E-03
MASP2,-0.701833186,0.003775536
SLC12A1,-0.701733624,0.001579915
NETO1,-0.701694154,8.70E-04
FAM180B,-0.701670781,0.018121196
HIVEP2,-0.701081767,1.16E-06
AP1S3,-0.701081396,1.31E-04
PRSS12,-0.700701597,4.61E-03
PP12613,-0.700694015,2.74E-02
PCDHA8,-0.700467467,0.026149457
AARD,-0.699754543,6.89E-03
CHRNA2,-0.699669847,4.39E-02
RASGRF2,-0.699567895,0.000992249
LINC01376,-0.69907684,8.94E-03
ADAMTS5,-0.698908918,1.77E-03
KRT222,-0.698574837,0.006404417
EFHB,-0.698327442,0.031836523
FHAD1,-0.698240463,0.004990964
LOC101927588,-0.697970968,0.031582985
HTR2A,-0.697300327,0.004809425
PCDHA5,-0.696949341,0.016029224
STRIP2,-0.696011179,0.001692976
ELMOD1,-0.695781488,0.002656964
MYT1L,-0.69563609,1.47E-03
MAP10,-0.695171438,2.23E-04
STARD13-AS,-0.694258485,0.042846286
SCN3B,-0.694163919,0.004758464
MTBP,-0.692971983,3.31E-06
CCDC113,-0.692872715,5.30E-06
ZDBF2,-0.692830391,0.000667324
PAK6,-0.691874038,1.45E-02
CRHBP,-0.691835132,0.004201424
LINC01166,-0.691672744,0.004973213
TRHDE,-0.691342348,0.004580488
KCNQ5,-0.69114438,0.006671296
ANKRD7,-0.690913678,0.019141734
NNAT,-0.690747745,2.94E-03
SCN8A,-0.690580939,0.000868725
ADRA1D,-0.690050747,0.013241407
ENTPD3,-0.688924964,0.002328594
GUCA1A,-0.688387244,0.008479948
LBH,-0.687148323,3.56E-03
CORT,-0.685210969,0.000555061
HECW1,-0.684079932,0.004262846
PKDREJ,-0.683848669,0.018524147
TRPA1,-0.683482513,2.49E-02
MEF2C,-0.683411581,3.48E-03
FAR2,-0.682990895,0.000149186
PTPN3,-0.68268987,0.007688569
VEPH1,-0.682446422,0.046131787
FPGT-TNNI3K,-0.68243308,8.44E-05
GOLT1A,-0.681580894,0.002328594
RNF128,-0.681433418,0.001305489
CALHM1,-0.681253388,0.004846622
CA4,-0.68112036,0.0045874
C17orf107,-0.680698218,0.000703683
LINC02175,-0.680687081,0.008881084
TRUB1,-0.680338692,7.83E-05
LRRC8B,-0.680220952,9.34E-06
PP2D1,-0.679924293,0.004356326
MYO5B,-0.679875697,4.14E-04
PRSS37,-0.679514155,0.030406531
FAM221B,-0.679459306,2.38E-02
MARCHF4,-0.67912618,0.004048322
SLC44A5,-0.678684196,0.001230122
MLIP,-0.678525735,0.005329839
RBM3,-0.678259646,1.71E-04
MFSD14C,-0.678210577,3.85E-05
SYNGR4,-0.677869696,3.54E-02
FAM160A1,-0.677558799,0.007861204
PRKCB,-0.677272889,4.67E-04
DLX6,-0.676995792,0.010865818
ATP6V1A,-0.6769928,4.30E-04
LINC00870,-0.676931105,0.040374382
SYT16,-0.676824039,0.003500923
TRPC3,-0.676364498,0.002507623
GPR137C,-0.676172285,5.71E-06
ZNF804A,-0.676119833,0.000946645
CDK14,-0.675968088,6.18E-04
FAM72B,-0.675913158,0.007023129
DGCR5,-0.675189302,3.32E-03
FRRS1L,-0.675105993,0.000699445
NRSN1,-0.674902579,0.000653523
LINC01821,-0.67483917,4.33E-02
PAK3,-0.674011211,0.00400648
NOMO2,-0.673666478,0.002444104
G3BP2,-0.672826049,0.000128244
OPCML,-0.672753701,0.001761918
PRTN3,-0.672706933,0.011494781
OXCT1,-0.67249216,1.85E-04
PTGIS,-0.67229577,0.035570018
GRIA2,-0.67212884,4.00E-04
RGPD3,-0.671667406,0.002817052
STS,-0.669740906,8.40E-04
LRRC53,-0.669339379,0.007255293
NOX5,-0.669256201,0.00563481
HTR5A-AS1,-0.669157585,0.004535333
C22orf24,-0.668857875,0.023234107
GRASLND,-0.668813642,0.000120816
PNPLA3,-0.668499319,0.027753014
CNTNAP2,-0.668205788,7.77E-05
GBP7,-0.666585667,2.32E-02
HACE1,-0.666079925,5.06E-07
ERICH3,-0.665881205,2.39E-03
COL24A1,-0.665786341,0.004557064
DNAJC6,-0.665440167,1.17E-05
STK31,-0.665154957,0.003976948
CLVS2,-0.664849342,0.002216746
SNAP25,-0.664621732,0.002198741
ANKRD30B,-0.664171917,1.57E-02
DNAJB13,-0.664161417,0.022867326
CHL1,-0.663941714,0.001371234
DGKH,-0.663418998,5.03E-04
ALOX12B,-0.663117277,0.006488591
SLC16A14,-0.662646298,0.000125725
CASC18,-0.662478659,1.11E-02
LINC02192,-0.662466861,0.045353254
LINC01168,-0.661553302,0.02479561
GALNTL6,-0.661275045,0.001089405
CFAP61,-0.66072923,0.00095829
CALML3,-0.65793591,0.040588833
GLCE,-0.657345343,0.000257476
RFC3,-0.656915731,4.35E-05
CLSPN,-0.65672383,0.028772724
ANKRD31,-0.655939306,0.001547408
CDC40,-0.655520429,1.15E-05
ZNF25,-0.654487281,2.73E-05
MYOZ3,-0.653940305,0.002046472
LINC01119,-0.652855887,0.00029349
ATL1,-0.652566289,9.49E-05
ZSCAN23,-0.652308462,1.57E-02
CNTN5,-0.652307444,0.021468443
MCHR1,-0.651131992,0.018922386
LOC107984450,-0.650861253,1.73E-02
BCAT1,-0.650807587,0.000128244
KIAA1549L,-0.650153615,0.003683531
SLC30A9,-0.650036465,3.71E-06
ZNF782,-0.649965525,2.78E-07
TMEM132D,-0.6499645,0.005060868
FBXO9,-0.649938602,1.19E-05
PJA2,-0.649508083,6.12E-06
ST6GAL2,-0.649426733,1.82E-04
DTWD2,-0.648918953,3.47E-06
TPH2,-0.64822774,0.02705314
DCDC1,-0.647414946,1.05E-02
ZNF454,-0.647323246,1.95E-04
SCN2B,-0.647142867,0.001453746
MME,-0.645011138,0.007138606
TAFA2,-0.644845873,0.016851711
SUGT1P4-STRA6LP-CCDC180,-0.644038855,0.004600001
RBFOX1,-0.643894713,0.004213373
SEC16B,-0.643708084,0.023067046
RFX3-AS1,-0.643645638,0.004055081
ZNF714,-0.643117963,6.03E-04
THSD7A,-0.642501534,0.000605973
TCP11L1,-0.642192088,7.84E-05
KIAA2012,-0.642113096,0.010351832
TDRD5,-0.641590541,2.61E-02
SSTR1,-0.641058948,0.0077013
LOC441204,-0.64047206,0.005073201
MIR7-3HG,-0.640049635,1.85E-03
DNAH8,-0.639749642,0.022123709
